lat|lon
''53,765067''|''-2,418941''
''54,168236''|''-2,822405''
''52,454738''|''-2,353309''
''51,372705''|''-0,461259''
''51,925462''|''-3,290224''
''50,53062''|''-3,614017''
''57,142355''|''-2,173338''
''53,414985''|''-1,42423''
''51,201233''|''-0,481628''
''51,873614''|''0,350805''
''51,455473''|''-0,372152''
''55,621228''|''-3,064442''
''53,095321''|''-2,428292''
''50,21307''|''-5,288214''
''51,647531''|''-0,411781''
''51,529479''|''-0,395652''
''53,050889''|''-3,05615''
''55,64976''|''-4,74744''
''52,591127''|''-2,09716''
''51,47827''|''-2,632573''
''53,40871''|''-1,362141''
''51,249132''|''-0,15689''
''51,405892''|''-2,686062''
''0,0''|''0,0''
''51,931608''|''-0,379285''
''50,779635''|''-3,240428''
''51,597038''|''-0,26545''
''50,735349''|''-1,734835''
''54,151227''|''-6,17791''
''51,521585''|''0,009914''
''51,495488''|''-0,2205''
''54,575865''|''-1,244956''
''55,850158''|''-4,379115''
''51,404923''|''-0,719003''
''53,184089''|''-4,208816''
''53,835753''|''-2,817455''
''51,644689''|''-0,113893''
''52,997236''|''-1,198362''
''51,890671''|''-0,371007''
''53,314577''|''-3,811688''
''50,18104''|''-5,441915''
''51,566221''|''-0,059297''
''52,209345''|''0,148231''
''54,909863''|''-2,705518''
''53,401684''|''-3,10695''
''51,37233''|''-0,289622''
''51,658336''|''-0,039012''
''53,054259''|''-2,205604''
''50,98227''|''-1,388537''
''50,349613''|''-3,996715''
''52,192102''|''1,167843''
''50,971818''|''0,099936''
''52,490726''|''-1,709276''
''51,388824''|''-0,744431''
''56,026436''|''-5,421194''
''52,015632''|''1,086815''
''53,115552''|''-2,173984''
''50,977023''|''-3,251025''
''57,584109''|''-3,845652''
''53,474643''|''-2,121695''
''54,955716''|''-1,642384''
''53,541681''|''-2,768468''
''51,081521''|''1,122621''
''54,570463''|''-1,294647''
''53,504761''|''-1,482719''
''54,036044''|''-1,040058''
''51,55807''|''0,072373''
''51,867164''|''-2,239658''
''53,380031''|''-3,014684''
''52,652022''|''-0,480946''
''50,992098''|''-0,092763''
''53,453283''|''-2,229394''
''50,690913''|''-1,290928''
''52,061525''|''-1,327429''
''53,098545''|''-2,44877''
''53,690909''|''-1,528189''
''56,004078''|''-3,778714''
''55,855084''|''-4,508016''
''51,069353''|''-2,370838''
''51,64003''|''0,045685''
''51,372857''|''-0,810251''
''50,794401''|''-1,068246''
''51,427868''|''-0,564995''
''51,183299''|''0,259284''
''53,286544''|''-3,732567''
''53,463356''|''-2,090274''
''52,902435''|''-1,287606''
''51,399203''|''-0,835213''
''55,848952''|''-4,150811''
''55,860898''|''-4,263878''
''52,860298''|''-3,042024''
''52,258165''|''-1,156472''
''55,624418''|''-3,520622''
''50,911131''|''-1,404261''
''51,522435''|''-0,149912''
''51,55106''|''0,074764''
''50,81199''|''-0,447853''
''52,799387''|''-1,605848''
''52,218542''|''-1,427041''
''55,868289''|''-4,278821''
''50,99855''|''0,848314''
''51,160132''|''0,552961''
''52,477589''|''-1,877826''
''51,463202''|''-0,979365''
''53,48559''|''-0,987862''
''52,166965''|''-1,448129''
''52,245347''|''-1,353098''
''51,559761''|''0,009288''
''55,842498''|''-4,213675''
''53,450623''|''-2,741917''
''53,86931''|''-2,469864''
''51,277413''|''-1,086525''
''50,725772''|''-1,892275''
''51,179551''|''1,109668''
''51,190439''|''-0,595908''
''51,524783''|''-0,191478''
''53,447248''|''-1,295526''
''51,518722''|''-0,14656''
''51,556089''|''-1,774002''
''54,52076''|''-1,521351''
''51,463503''|''-2,556653''
''53,479274''|''-2,244557''
''54,002427''|''-1,522386''
''51,581628''|''-1,740913''
''54,562449''|''-5,980467''
''51,513482''|''-0,15186''
''51,624153''|''0,042862''
''53,379222''|''-1,516125''
''53,461397''|''-2,773674''
''53,948328''|''-1,120863''
''51,499641''|''-0,140966''
''51,287592''|''-0,782929''
''54,223383''|''-0,914789''
''50,95104''|''-2,62654''
''53,139834''|''-4,267255''
''55,775317''|''-4,438687''
''53,154679''|''-1,187119''
''53,501286''|''-2,190999''
''51,516937''|''-0,094673''
''51,57734''|''-0,364576''
''50,790881''|''-3,658298''
''51,205197''|''-0,692256''
''51,652754''|''-0,275222''
''53,213832''|''-0,464066''
''53,18863''|''-1,619711''
''53,827208''|''-1,456819''
